Record ID,Function,Family,Job Code,Job,PC,Level,Base Salary-Average,Base Salary-#Orgs,Base Salary-#Cases,Base Salary-10th,Base Salary-25th,Base Salary-Median,Base Salary-75th,Base Salary-90th,Total Guaranteed Compensation-Average,Total Guaranteed Compensation-#Orgs,Total Guaranteed Compensation-#Cases,Total Guaranteed Compensation-10th,Total Guaranteed Compensation-25th,Total Guaranteed Compensation-Median,Total Guaranteed Compensation-75th,Total Guaranteed Compensation-90th,Actual Total Compensation-Average,Actual Total Compensation-#Orgs,Actual Total Compensation-#Cases,Actual Total Compensation-10th,Actual Total Compensation-25th,Actual Total Compensation-Median,Actual Total Compensation-75th,Actual Total Compensation-90th,country
299,Actual Data,Accounting,FIN.06.002,Financial Reporting,54,Team Leader,280821,7,25,,213009,285974,336000,,289525,7,25,,213009,299940,355176,,336539,7,25,,252077,343315,415926,,
300,Actual Data,Accounting,FIN.06.002,Financial Reporting,57,Manager,434897,3,3,,,,,,434897,3,3,,,,,,508319,3,3,,,,,,
301,Actual Data,Accounting,FIN.06.002,Financial Reporting,58,Manager,452276,3,4,,,,,,454719,3,4,,,,,,587535,3,4,,,,,,
302,Actual Data,Financial Analysis,FIN.07.001,Tax,46,Team Member,64957,3,10,,,,,,65217,3,10,,,,,,71865,3,10,,,,,,
303,Actual Data,Financial Analysis,FIN.07.001,Tax,47,Team Member,69737,3,13,,,,,,70378,3,13,,,,,,74176,3,13,,,,,,
304,Actual Data,Financial Analysis,FIN.07.001,Tax,49,Team Member,112323,7,17,,99268,105000,131680,,116091,7,17,,99268,107374,133728,,124081,7,17,,105000,117290,155478,,
305,Actual Data,Financial Analysis,FIN.07.001,Tax,50,Team Member,159732,5,15,,138326,171600,175204,,162466,5,15,,140970,173040,178675,,179271,5,15,,157418,191540,194990,,
306,Actual Data,Financial Analysis,FIN.07.001,Tax,54,Team Leader,228492,3,4,,,,,,242409,3,4,,,,,,269983,3,4,,,,,,
307,Actual Data,Economic Research,FIN.08.012,Economic Research,50,Team Member,126037,3,6,,,,,,132403,3,6,,,,,,142023,3,6,,,,,,
308,Actual Data,Economic Research,FIN.08.012,Economic Research,54,Team Leader,316553,5,5,,260028,311496,375607,,324861,5,5,,280798,311496,375607,,382834,5,5,,325508,353210,454973,,
309,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,46,Team Member,64703,3,4,,,,,,64963,3,4,,,,,,64963,3,4,,,,,,
310,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,47,Team Member,64677,3,5,,,,,,69377,3,5,,,,,,69947,3,5,,,,,,
311,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,49,Team Member,97263,3,7,,,,,,109657,3,7,,,,,,116478,3,7,,,,,,
312,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,50,Team Member,136671,7,16,,108227,138000,160095,,143429,7,16,,108227,138000,166183,,152476,7,16,,108227,138000,187658,,
313,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,52,Team Leader,175244,4,5,,,174000,,,175244,4,5,,,174000,,,176888,4,5,,,175708,,,
314,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,56,Manager,367098,4,4,,,372446,,,374142,4,4,,,372446,,,427944,4,4,,,431593,,,
315,Actual Data,Strategic Planning,GMA.02.001,Strategic Planning,58,Manager,551441,3,5,,,,,,566535,3,5,,,,,,628775,3,5,,,,,,
316,Actual Data,Risk Management,GMA.03.010,Risk Management,47,Team Member,69825,6,21,,64350,69816,74335,,71083,6,21,,64475,72538,75540,,72649,6,21,,66853,73992,78026,,
317,Actual Data,Risk Management,GMA.03.010,Risk Management,49,Team Member,93853,3,9,,,,,,98553,3,9,,,,,,101645,3,9,,,,,,
318,Actual Data,Risk Management,GMA.03.010,Risk Management,50,Team Member,140657,6,22,,109765,137394,167205,,142538,6,22,,109765,137769,175108,,151188,6,22,,112097,154110,185550,,
319,Actual Data,Risk Management,GMA.03.010,Risk Management,52,Team Leader,178794,4,7,,,180739,,,180859,4,7,,,180739,,,200469,4,7,,,196688,,,
320,Actual Data,Risk Management,GMA.03.010,Risk Management,54,Team Leader,261070,4,7,,,262283,,,274905,4,7,,,286068,,,303462,4,7,,,321984,,,
321,Actual Data,Risk Management,GMA.03.010,Risk Management,57,Manager,376531,3,4,,,,,,389660,3,4,,,,,,435105,3,4,,,,,,
322,Actual Data,Risk Management,GMA.03.012,Risk Modeling,47,Team Member,64580,7,12,,61772,65976,71269,,67256,7,12,,61772,66726,78720,,68547,7,12,,64077,67200,78720,,
323,Actual Data,Risk Management,GMA.03.012,Risk Modeling,49,Team Member,108975,4,8,,,111381,,,108975,4,8,,,111381,,,110134,4,8,,,112102,,,
324,Actual Data,Risk Management,GMA.03.012,Risk Modeling,52,Team Leader,188055,3,7,,,,,,192205,3,7,,,,,,208278,3,7,,,,,,
325,Actual Data,Risk Management,GMA.03.033,Operational Risk,47,Team Member,61772,4,4,,,64960,,,63497,4,4,,,67404,,,66866,4,4,,,69939,,,
326,Actual Data,Risk Management,GMA.03.033,Operational Risk,49,Team Member,106444,6,8,,86021,96750,138270,,109128,6,8,,86021,96750,142837,,114421,6,8,,87052,104091,146074,,
327,Actual Data,Risk Management,GMA.03.033,Operational Risk,50,Team Member,134967,7,9,,120360,133296,150000,,137329,7,9,,120648,133296,154008,,147700,7,9,,133710,144403,164334,,
328,Actual Data,Risk Management,GMA.03.033,Operational Risk,52,Team Leader,173637,7,10,,162000,170628,181992,,176767,7,10,,170549,174438,181992,,189953,7,10,,177338,183178,211992,,
329,Actual Data,Risk Management,GMA.03.033,Operational Risk,54,Team Leader,235980,4,4,,,234810,,,246417,4,4,,,238630,,,266462,4,4,,,265772,,,
330,Actual Data,Risk Management,GMA.03.053,Market Risk,47,Team Member,71002,4,4,,,72252,,,74527,4,4,,,72565,,,76260,4,4,,,74985,,,
331,Actual Data,Risk Management,GMA.03.053,Market Risk,49,Team Member,87058,3,5,,,,,,87558,3,5,,,,,,88137,3,5,,,,,,
332,Actual Data,Risk Management,GMA.03.053,Market Risk,50,Team Member,136720,9,14,,118200,137940,149688,,137980,9,14,,118200,140004,149688,,146230,9,14,,125608,152532,166136,,
333,Actual Data,Risk Management,GMA.03.053,Market Risk,51,Team Leader,132636,4,6,,,130782,,,133011,4,6,,,131532,,,146281,4,6,,,146895,,,
334,Actual Data,Risk Management,GMA.03.053,Market Risk,52,Team Leader,164437,4,4,,,165000,,,165667,4,4,,,166223,,,173279,4,4,,,171105,,,
335,Actual Data,Risk Management,GMA.03.053,Market Risk,54,Team Leader,248529,4,5,,,256757,,,265945,4,5,,,270820,,,296154,4,5,,,304855,,,
336,Actual Data,Risk Management,GMA.03.053,Market Risk,55,Team Leader,262842,4,4,,,263502,,,262895,4,4,,,263502,,,314666,4,4,,,297310,,,
337,Actual Data,Risk Management,GMA.03.053,Market Risk,56,Manager,348381,4,4,,,340116,,,348381,4,4,,,340116,,,411825,4,4,,,412338,,,
338,Actual Data,Risk Management,GMA.03.054,Credit Risk,47,Team Member,69174,5,12,,65174,68821,73350,,71524,5,12,,65174,72600,77336,,73921,5,12,,68253,75990,78555,,
339,Actual Data,Risk Management,GMA.03.054,Credit Risk,49,Team Member,97823,8,30,,79246,83631,113405,,99457,8,30,,79371,83631,122218,,104919,8,30,,84765,87910,128686,,
340,Actual Data,Risk Management,GMA.03.054,Credit Risk,50,Team Member,132769,7,73,,118255,140200,150000,,135662,7,73,,118255,149658,152754,,145112,7,73,,122192,150000,162137,,
341,Actual Data,Risk Management,GMA.03.054,Credit Risk,52,Team Leader,175375,5,16,,171307,176544,178858,,176111,5,16,,171307,177715,180112,,192114,5,16,,176302,194189,206888,,
342,Actual Data,Risk Management,GMA.03.054,Credit Risk,53,Team Leader,228209,3,3,,,,,,232909,3,3,,,,,,259807,3,3,,,,,,
343,Actual Data,Risk Management,GMA.03.054,Credit Risk,54,Team Leader,221884,4,24,,,223828,,,232322,4,24,,,223828,,,261811,4,24,,,261178,,,
344,Actual Data,Risk Management,GMA.03.054,Credit Risk,55,Team Leader,274598,3,4,,,,,,274598,3,4,,,,,,324577,3,4,,,,,,
345,Actual Data,Risk Management,GMA.03.054,Credit Risk,56,Manager,349432,3,3,,,,,,351241,3,3,,,,,,405110,3,3,,,,,,
346,Actual Data,Risk Management,GMA.03.054,Credit Risk,57,Manager,337800,4,7,,,345583,,,337863,4,7,,,345710,,,408882,4,7,,,390438,,,
347,Actual Data,Occupational Safety / Health,HLT.03.001,Doctor,53,Team Leader,245125,3,3,,,,,,247089,3,3,,,,,,256161,3,3,,,,,,
348,Actual Data,Financial Analysis,HRM.01.001,HR General Management,56,Manager,402804,3,3,,,,,,416650,3,3,,,,,,445450,3,3,,,,,,
349,Actual Data,Human Resources,HRM.02.001,HR Generalist - Business Partner,50,Team Member,142651,3,34,,,,,,147683,3,34,,,,,,157995,3,34,,,,,,
350,Actual Data,Human Resources,HRM.02.001,HR Generalist - Business Partner,54,Team Leader,255160,3,8,,,,,,274852,3,8,,,,,,307933,3,8,,,,,,
351,Actual Data,Human Resources,HRM.04.001,Compensation and Benefits,46,Team Member,56801,5,7,,52500,57000,61002,,56833,5,7,,52500,57000,61083,,58433,5,7,,52500,57000,65083,,
352,Actual Data,Human Resources,HRM.04.001,Compensation and Benefits,49,Team Member,96247,4,5,,,95940,,,99772,4,5,,,100454,,,108186,4,5,,,111113,,,
353,Actual Data,Human Resources,HRM.04.001,Compensation and Benefits,50,Team Member,128042,7,15,,112005,126000,144504,,129552,7,15,,112005,126000,144504,,138216,7,15,,113310,147921,151504,,
354,Actual Data,Human Resources,HRM.04.001,Compensation and Benefits,54,Team Leader,252273,3,5,,,,,,266120,3,5,,,,,,300792,3,5,,,,,,
355,Actual Data,Human Resources,HRM.04.001,Compensation and Benefits,56,Manager,387020,3,3,,,,,,387020,3,3,,,,,,453420,3,3,,,,,,
356,Actual Data,Human Resources,HRM.05.010,Human Resources Information Systems,46,Team Member,61949,4,7,,,61470,,,61949,4,7,,,61470,,,65844,4,7,,,65795,,,
357,Actual Data,Human Resources,HRM.05.010,Human Resources Information Systems,49,Team Member,132042,3,4,,,,,,132042,3,4,,,,,,138429,3,4,,,,,,
358,Actual Data,Human Resources,HRM.05.999,HR Service Center / Authorization,49,Team Member,109614,3,4,,,,,,109614,3,4,,,,,,115268,3,4,,,,,,
359,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,45,Team Member,45266,5,9,,40600,44106,50512,,45356,5,9,,40825,44106,50512,,45650,5,9,,41561,44106,50512,,
360,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,46,Team Member,58853,6,12,,49195,54150,71149,,58853,6,12,,49195,54150,71149,,61676,6,12,,52986,55137,76111,,
361,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,47,Team Member,63955,6,18,,55843,61649,72942,,64466,6,18,,55843,61649,73709,,69229,6,18,,60670,66232,79752,,
362,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,49,Team Member,94020,6,22,,75404,97627,107081,,94619,6,22,,75404,97627,109780,,103580,6,22,,80314,107899,121659,,
363,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,50,Team Member,147738,7,20,,127395,133500,168000,,148567,7,20,,127395,133500,173803,,158475,7,20,,136878,150196,185998,,
364,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,54,Team Leader,251437,5,6,,211611,231000,301483,,259787,5,6,,215266,265440,301483,,290468,5,6,,231092,283040,353560,,
365,Actual Data,Accounting,HRM.06.001,Payroll and Personnel Affairs,56,Manager,391808,3,3,,,,,,391893,3,3,,,,,,504667,3,3,,,,,,
366,Actual Data,Human Resources,HRM.08.002,Recruitment,46,Team Member,50980,6,14,,44571,47996,61145,,50980,6,14,,44571,47996,61145,,51730,6,14,,45525,49610,61145,,
367,Actual Data,Human Resources,HRM.08.002,Recruitment,47,Team Member,67267,7,35,,62928,64450,72000,,67267,7,35,,62928,64450,72000,,69837,7,35,,65772,71918,72049,,
368,Actual Data,Human Resources,HRM.08.002,Recruitment,48,Team Member,87253,3,3,,,,,,87253,3,3,,,,,,89837,3,3,,,,,,
369,Actual Data,Human Resources,HRM.08.002,Recruitment,49,Team Member,82588,6,18,,68767,83202,94647,,84388,6,18,,68767,83202,102689,,88504,6,18,,75517,85272,106687,,
370,Actual Data,Human Resources,HRM.08.002,Recruitment,50,Team Member,129389,7,31,,109676,132714,140054,,130139,7,31,,109676,132714,140054,,140641,7,31,,112705,151384,152634,,
371,Actual Data,Human Resources,HRM.08.002,Recruitment,54,Team Leader,233440,6,15,,208857,221496,266386,,240398,6,15,,209015,221496,283980,,266723,6,15,,233640,243584,319323,,
372,Actual Data,Human Resources,HRM.09.001,Talent Management,46,Team Member,51630,3,4,,,,,,51630,3,4,,,,,,53952,3,4,,,,,,
373,Actual Data,Human Resources,HRM.09.001,Talent Management,50,Team Member,126267,4,5,,,128064,,,129792,4,5,,,128064,,,139243,4,5,,,138078,,,
374,Actual Data,Human Resources,HRM.09.004,Workforce Analysis,50,Team Member,128531,3,4,,,,,,130881,3,4,,,,,,143540,3,4,,,,,,
375,Actual Data,Human Resources,HRM.09.006,Organizational Development,46,Team Member,54399,4,7,,,51453,,,54399,4,7,,,51453,,,56138,4,7,,,53473,,,
376,Actual Data,Human Resources,HRM.09.006,Organizational Development,47,Team Member,70653,3,4,,,,,,70653,3,4,,,,,,75035,3,4,,,,,,
377,Actual Data,Human Resources,HRM.09.006,Organizational Development,49,Team Member,89578,5,12,,62484,85668,118628,,90315,5,12,,62484,85668,120470,,95295,5,12,,66438,85668,128965,,
378,Actual Data,Human Resources,HRM.09.006,Organizational Development,50,Team Member,136180,6,12,,116544,137940,155316,,136310,6,12,,116544,138330,155316,,147306,6,12,,130392,147463,161887,,
379,Actual Data,Human Resources,HRM.09.006,Organizational Development,54,Team Leader,249589,4,9,,,228526,,,260027,4,9,,,249401,,,283972,4,9,,,282674,,,
380,Actual Data,Human Resources,HRM.10.001,Training,45,Team Member,43320,3,3,,,,,,43470,3,3,,,,,,43470,3,3,,,,,,
381,Actual Data,Human Resources,HRM.10.001,Training,46,Team Member,57488,8,20,,50679,55967,64305,,57947,8,20,,50844,56076,65502,,60038,8,20,,55016,58108,65502,,
382,Actual Data,Human Resources,HRM.10.001,Training,47,Team Member,64038,7,20,,60459,66000,67980,,65045,7,20,,60459,67272,71875,,69056,7,20,,67980,69700,76667,,
383,Actual Data,Human Resources,HRM.10.001,Training,48,Team Member,91275,3,5,,,,,,91794,3,5,,,,,,100635,3,5,,,,,,
384,Actual Data,Human Resources,HRM.10.001,Training,49,Team Member,109866,6,16,,63843,100912,149416,,110616,6,16,,63843,103163,149416,,115348,6,16,,68389,109405,156092,,
385,Actual Data,Human Resources,HRM.10.001,Training,50,Team Member,124440,6,34,,108795,115554,147764,,127394,6,34,,108795,115554,154746,,136854,6,34,,112047,128727,167375,,
386,Actual Data,Human Resources,HRM.10.001,Training,51,Team Leader,145378,3,4,,,,,,145378,3,4,,,,,,149507,3,4,,,,,,
387,Actual Data,Human Resources,HRM.10.001,Training,54,Team Leader,234813,7,17,,212250,231847,261394,,242852,7,17,,212250,231847,277200,,280248,7,17,,240763,277745,333852,,
388,Actual Data,Information Technology Development,ITC.02.004,IT Development,50,Team Member,149120,3,11,,,,,,150170,3,11,,,,,,160477,3,11,,,,,,
389,Actual Data,Information Technology Development,ITC.02.004,IT Development,53,Team Leader,268924,4,26,,,271530,,,272091,4,26,,,271530,,,295453,4,26,,,294423,,,
390,Actual Data,Information Technology Development,ITC.02.004,IT Development,54,Team Leader,301968,4,16,,,298880,,,301968,4,16,,,298880,,,338226,4,16,,,336781,,,
391,Actual Data,Information Technology Development,ITC.02.004,IT Development,56,Manager,398067,3,12,,,,,,398067,3,12,,,,,,443634,3,12,,,,,,
392,Actual Data,Information Technology Development,ITC.02.004,IT Development,58,Manager,531949,4,15,,,497556,,,531949,4,15,,,497556,,,645992,4,15,,,605372,,,
393,Actual Data,Information Technology Development,ITC.03.008,IT Architecture,50,Team Member,151985,3,6,,,,,,152245,3,6,,,,,,156100,3,6,,,,,,
394,Actual Data,Information Technology Development,ITC.03.008,IT Architecture,53,Team Leader,246205,4,11,,,243332,,,247312,4,11,,,245546,,,263261,4,11,,,257167,,,
395,Actual Data,Information Technology Development,ITC.04.001,Business Analyst,47,Team Member,66885,4,15,,,72550,,,66885,4,15,,,72550,,,66885,4,15,,,72550,,,
396,Actual Data,Information Technology Development,ITC.04.001,Business Analyst,48,Team Member,89612,4,64,,,90268,,,90450,4,64,,,90268,,,92512,4,64,,,92133,,,
397,Actual Data,Information Technology Development,ITC.04.001,Business Analyst,49,Team Member,112218,6,117,,93003,117086,124314,,113473,6,117,,93003,117086,126569,,116519,6,117,,93462,117847,132484,,
398,Actual Data,Information Technology Development,ITC.04.001,Business Analyst,50,Team Member,172637,6,149,,149076,178468,194296,,174211,6,149,,149076,183191,194296,,180012,6,149,,150043,192890,201147,,
399,Actual Data,Information Technology Development,ITC.04.001,Business Analyst,52,Team Leader,195882,3,93,,,,,,198134,3,93,,,,,,205783,3,93,,,,,,
400,Actual Data,Information Technology Development,ITC.04.001,Business Analyst,53,Team Leader,245433,5,105,,237247,239190,256740,,246264,5,105,,237247,239190,258819,,254254,5,105,,238145,245523,274728,,
401,Actual Data,Information Technology Management,ITC.05.999,Network and System Management,48,Team Member,92499,4,10,,,89550,,,92499,4,10,,,89550,,,93143,4,10,,,90838,,,
402,Actual Data,Information Technology Management,ITC.05.999,Network and System Management,49,Team Member,152706,6,14,,130446,155564,181832,,153512,6,14,,130446,157981,181832,,157204,6,14,,131399,164579,183119,,
403,Actual Data,Information Technology Management,ITC.05.999,Network and System Management,50,Team Member,193791,7,36,,176856,190349,199542,,194965,7,36,,176856,190349,199542,,204263,7,36,,188803,199542,203447,,
404,Actual Data,Information Technology Management,ITC.05.999,Network and System Management,53,Team Leader,269670,5,8,,243911,272490,294018,,272601,5,8,,243911,287148,294018,,293386,5,8,,265442,294000,321022,,
405,Actual Data,Information Technology Management,ITC.05.999,Network and System Management,54,Team Leader,320599,3,5,,,,,,320599,3,5,,,,,,347935,3,5,,,,,,
406,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,47,Team Member,67425,4,8,,,72595,,,67479,4,8,,,72703,,,67650,4,8,,,73045,,,
407,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,48,Team Member,93720,4,102,,,88183,,,94388,4,102,,,89518,,,95675,4,102,,,91710,,,
408,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,49,Team Member,119098,6,176,,95536,128141,136369,,119525,6,176,,95536,128141,138293,,122375,6,176,,95935,130626,141967,,
409,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,50,Team Member,178673,6,187,,159926,185490,195747,,180529,6,187,,159930,185490,201077,,185947,6,187,,160707,189489,209644,,
410,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,52,Team Leader,201163,4,148,,,198865,,,203526,4,148,,,203592,,,214156,4,148,,,214997,,,
411,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,53,Team Leader,243973,5,201,,238235,242510,250442,,246255,5,201,,238235,247800,253503,,257863,5,201,,241588,249287,278427,,
412,Actual Data,Information Technology Development,ITC.06.022,Software - System Development,54,Team Leader,295326,4,25,,,307945,,,295326,4,25,,,307945,,,320563,4,25,,,337336,,,
413,Actual Data,Information Technology Management,ITC.07.001,IT Security,46,Team Member,61353,3,20,,,,,,61804,3,20,,,,,,64393,3,20,,,,,,
414,Actual Data,Information Technology Management,ITC.07.001,IT Security,47,Team Member,70286,3,6,,,,,,72080,3,6,,,,,,73772,3,6,,,,,,
415,Actual Data,Information Technology Management,ITC.07.001,IT Security,48,Team Member,93387,3,16,,,,,,93914,3,16,,,,,,94690,3,16,,,,,,
416,Actual Data,Information Technology Management,ITC.07.001,IT Security,49,Team Member,133776,5,18,,118158,133022,149770,,135485,5,18,,118158,133022,154043,,142172,5,18,,127087,140511,158089,,
417,Actual Data,Information Technology Management,ITC.07.001,IT Security,50,Team Member,155535,7,27,,108300,179102,194960,,157188,7,27,,108300,179102,195840,,166513,7,27,,113739,183611,220523,,
418,Actual Data,Information Technology Management,ITC.07.001,IT Security,52,Team Leader,187725,3,6,,,,,,187725,3,6,,,,,,192843,3,6,,,,,,
419,Actual Data,Information Technology Management,ITC.07.001,IT Security,53,Team Leader,249552,5,10,,235200,252000,262679,,251294,5,10,,235200,252000,267035,,270292,5,10,,242350,271779,297490,,
420,Actual Data,Information Technology Management,ITC.07.001,IT Security,54,Team Leader,269137,4,9,,,268028,,,269137,4,9,,,268028,,,299917,4,9,,,294295,,,
421,Actual Data,Information Technology Management,ITC.07.001,IT Security,56,Manager,389820,3,4,,,,,,395856,3,4,,,,,,451194,3,4,,,,,,
422,Actual Data,Information Technology Management,ITC.08.001,IT Management,46,Team Member,52100,5,7,,45789,53267,57828,,58040,5,7,,45789,53267,72677,,60336,5,7,,47847,56263,74860,,
423,Actual Data,Information Technology Management,ITC.08.001,IT Management,47,Team Member,71207,3,4,,,,,,85644,3,4,,,,,,89373,3,4,,,,,,
424,Actual Data,Information Technology Management,ITC.08.001,IT Management,48,Team Member,97587,3,11,,,,,,116760,3,11,,,,,,119737,3,11,,,,,,
425,Actual Data,Information Technology Management,ITC.08.001,IT Management,49,Team Member,119067,5,15,,88161,113818,152598,,124266,5,15,,88161,113818,165594,,131571,5,15,,93811,121133,174550,,
426,Actual Data,Information Technology Management,ITC.08.001,IT Management,50,Team Member,178972,4,38,,,171594,,,178972,4,38,,,171594,,,192663,4,38,,,185616,,,
427,Actual Data,Information Technology Management,ITC.08.001,IT Management,52,Team Leader,199863,3,3,,,,,,202658,3,3,,,,,,223730,3,3,,,,,,
428,Actual Data,Information Technology Management,ITC.08.001,IT Management,56,Manager,370512,3,5,,,,,,377404,3,5,,,,,,420182,3,5,,,,,,
429,Actual Data,Information Technology Management,ITC.08.074,Database Management,48,Team Member,106291,3,7,,,,,,107331,3,7,,,,,,108988,3,7,,,,,,
430,Actual Data,Information Technology Management,ITC.08.074,Database Management,49,Team Member,151818,6,13,,135279,152774,162600,,151948,6,13,,135279,152774,163185,,156304,6,13,,142337,152774,173136,,
431,Actual Data,Information Technology Management,ITC.08.074,Database Management,50,Team Member,203009,6,10,,166971,219564,236912,,204150,6,10,,166971,222988,236912,,217501,6,10,,178147,237504,251446,,
432,Actual Data,Information Technology Management,ITC.08.074,Database Management,52,Team Leader,208366,3,4,,,,,,208366,3,4,,,,,,210397,3,4,,,,,,
433,Actual Data,Information Technology Management,ITC.08.074,Database Management,53,Team Leader,263205,5,11,,233062,267000,291450,,265641,5,11,,233062,279180,291450,,280674,5,11,,247533,290402,308950,,
434,Actual Data,Information Technology Management,ITC.08.074,Database Management,54,Team Leader,302761,3,6,,,,,,302761,3,6,,,,,,334806,3,6,,,,,,
435,Actual Data,Information Technology Management,ITC.10.002,Help Desk,45,Team Member,45719,4,5,,,43893,,,45839,4,5,,,44132,,,46556,4,5,,,45008,,,
436,Actual Data,Information Technology Management,ITC.10.002,Help Desk,46,Team Member,63704,5,25,,57521,62358,70560,,64738,5,25,,58572,62358,72093,,67216,5,25,,59557,67708,74628,,
437,Actual Data,Information Technology Management,ITC.10.002,Help Desk,47,Team Member,67937,7,29,,64516,70800,71438,,69127,7,29,,64516,71438,73569,,70796,7,29,,66557,72306,77525,,
438,Actual Data,Information Technology Management,ITC.10.002,Help Desk,48,Team Member,96472,6,17,,85200,93658,110025,,97235,6,17,,87585,94358,110025,,99768,6,17,,88657,100432,110025,,
439,Actual Data,Information Technology Management,ITC.10.002,Help Desk,49,Team Member,110866,7,53,,98647,107409,130320,,111541,7,53,,98647,107409,135043,,118824,7,53,,109943,115097,143931,,
440,Actual Data,Information Technology Management,ITC.10.002,Help Desk,50,Team Member,176294,6,26,,144803,175796,210828,,176294,6,26,,144803,175796,210828,,188279,6,26,,150919,186627,230304,,
441,Actual Data,Information Technology Management,ITC.10.002,Help Desk,53,Team Leader,233044,4,5,,,228836,,,239857,4,5,,,242462,,,262058,4,5,,,259194,,,
442,Actual Data,Information Technology Management,ITC.11.004,Computer Operations: Production Control,48,Team Member,98236,4,22,,,90996,,,98236,4,22,,,90996,,,99429,4,22,,,93384,,,
443,Actual Data,Information Technology Management,ITC.11.004,Computer Operations: Production Control,49,Team Member,125698,4,42,,,124474,,,125698,4,42,,,124474,,,128933,4,42,,,130945,,,
444,Actual Data,Information Technology Management,ITC.11.004,Computer Operations: Production Control,50,Team Member,188024,3,30,,,,,,188024,3,30,,,,,,190101,3,30,,,,,,
445,Actual Data,Information Technology Management,ITC.11.004,Computer Operations: Production Control,52,Team Leader,196839,3,33,,,,,,196839,3,33,,,,,,213580,3,33,,,,,,
446,Actual Data,Information Technology Management,ITC.11.004,Computer Operations: Production Control,53,Team Leader,256536,3,63,,,,,,256536,3,63,,,,,,278085,3,63,,,,,,
447,Actual Data,Information Technology Development,ITC.14.051,Testing,47,Team Member,60172,4,10,,,61063,,,60172,4,10,,,61063,,,60997,4,10,,,62715,,,
448,Actual Data,Information Technology Development,ITC.14.051,Testing,49,Team Member,106858,3,9,,,,,,108089,3,9,,,,,,112995,3,9,,,,,,
449,Actual Data,Information Technology Development,ITC.14.051,Testing,50,Team Member,148267,4,24,,,148972,,,149902,4,24,,,148972,,,157717,4,24,,,154363,,,
450,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,46,Team Member,58138,7,40,,45013,55424,71000,,59366,7,40,,45165,55424,77488,,61658,7,40,,47243,63084,79680,,
451,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,47,Team Member,69641,5,16,,62186,72475,75678,,70291,5,16,,63421,72475,76068,,75095,5,16,,67187,80049,80527,,
452,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,48,Team Member,96594,3,15,,,,,,98274,3,15,,,,,,103416,3,15,,,,,,
453,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,49,Team Member,97909,10,38,69408,75284,99340,118506,123051,100285,10,38,69408,75284,99340,123321,131266,106418,10,38,69869,77470,109664,133203,138418,
454,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,50,Team Member,142797,10,66,114853,127090,145530,154811,170733,144821,10,66,114902,127090,145530,164335,171791,155699,10,66,125678,130592,157954,175133,180049,
455,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,52,Team Leader,179693,7,29,,164940,173760,201781,,181096,7,29,,164940,173760,205416,,194628,7,29,,174953,186756,227729,,
456,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,53,Team Leader,228334,4,7,,,229860,,,228334,4,7,,,229860,,,257836,4,7,,,265622,,,
457,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,54,Team Leader,244592,8,29,,209895,229715,289200,,251052,8,29,,210053,229715,291845,,284870,8,29,,254707,265089,342953,,
458,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,55,Team Leader,261265,3,9,,,,,,261265,3,9,,,,,,298521,3,9,,,,,,
459,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,56,Manager,368845,3,11,,,,,,368845,3,11,,,,,,427832,3,11,,,,,,
460,Actual Data,Compliance,LCA.02.001,Regulation / Compliance,57,Manager,436063,3,3,,,,,,436063,3,3,,,,,,476263,3,3,,,,,,
461,Actual Data,Legal,LCA.03.011,Lawyers and Consultants,47,Team Member,69542,5,13,,65853,68424,73789,,70061,5,13,,65865,69500,74537,,90326,5,13,,70653,83500,113413,,
462,Actual Data,Legal,LCA.03.011,Lawyers and Consultants,48,Team Member,93904,7,21,,88333,89464,98532,,94375,7,21,,88500,90297,98532,,129947,7,21,,106976,121217,128231,,
